SAMPLE,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,3:22985001,6:15880001,12:20650001,20:14055001,SUM_CAB_READS,SUM_KAGA_READS,TOTAL_READS,PROP_CAB_READS,PROP_KAGA_READS,SUM_GT_CAB,SUM_GT_HET,SUM_GT_KAGA,TOTAL_GT,PROP_CAB_GT,PROP_HET_GT,PROP_KAGA_GT
105,31511,56.0480229885057,0.282048441037098,198.717719489659,1.20200430205057e-45,59.13,1.9,0.35,58.24,3.84,13_12_20,AU,-1,-1,NA,NA,2355207,1415564,3770771,0.6245956065748888,0.3754043934251112,38900,41028,19757,99685,0.39022922204945576,0.4115764658674826,0.19819431208306165
106,26702,59.2104187192118,0.280387036180664,211.173881381093,5.45678529351307e-45,61.93,1.7,0.32,61.11,3.02,13_12_20,AU,-1,0,NA,1,1744814,901279,2646093,0.6593925459158088,0.3406074540841913,32721,36185,15653,84559,0.3869605837344339,0.4279260634586502,0.18511335280691588
107,26271,53.2991954022989,0.3167359651501,168.276423477961,1.25961039032394e-43,55.67,1.58,0.29,54.92,3.25,14_12_20,AU,-1,-1,NA,1,4881916,1510584,6392500,0.7636943292921392,0.23630567070786077,45786,43805,14105,103696,0.4415406573059713,0.4224367381576917,0.136022604536337
108,24354,58.9667126436782,0.263403082729601,223.864929873319,4.28355187739679e-47,62.52,2.13,0.4,63.22,3.92,14_12_20,AU,-1,-1,NA,1,2811875,1754869,4566744,0.6157286241576055,0.3842713758423945,33475,44923,22592,100990,0.3314684622239826,0.4448262204178631,0.22370531735815427
109,27966,57.2916551724138,0.232795017441389,246.103442428007,3.02471797738636e-48,58.84,1.07,0.2,59.3,1.43,14_12_20,AU,-1,0,NA,1,5288198,3839531,9127729,0.5793552810343077,0.42064471896569233,24857,56150,25349,106356,0.23371507014178797,0.5279438865696341,0.23834104328857797
110,31005,57.2445057471264,0.145423127777172,393.641002102779,5.89964006042235e-54,57.81,0.5,0.09,57.49,0.3,14_12_20,AU,-1,0,NA,0,5223563,2085697,7309260,0.7146500466531496,0.2853499533468504,37117,47978,19350,104445,0.3553736416295658,0.45936138637560436,0.1852649719948298
111,26828,57.0791264367816,0.138910215850965,410.906613938468,1.7738397954235e-54,58.75,1.02,0.19,59.14,1.73,14_12_20,AU,-1,0,NA,0,6466318,3429678,9895996,0.6534277095504081,0.3465722904495919,30404,56144,20422,106970,0.28422922314667665,0.5248574366644854,0.190913340188838
112,25549,60.4400689655172,0.149021492946783,405.579542724761,2.55603713809073e-54,62.83,1.41,0.26,62.31,2.04,14_12_20,AU,0,0,-1,1,3378442,2967782,6346224,0.532354672636831,0.46764532736316905,32246,39361,32688,104295,0.30918068939067067,0.37740064240855264,0.31341866820077663
113,22191,64.4550574712643,0.0973299748352512,662.232344972515,2.79274026452363e-60,62.88,0.93,0.17,62.76,1.81,14_12_20,AU,-1,0,-1,1,3988746,1962875,5951621,0.6701948931223948,0.3298051068776053,38197,47837,17849,103883,0.36769250021658983,0.46048920420087985,0.17181829558253034
114,31468,55.8391264367816,0.29048435047745,192.227658202594,3.04368856418142e-45,59.21,2.06,0.38,60.05,3.16,14_12_20,AU,-1,1,NA,0,4221344,2414583,6635927,0.6361347856900776,0.36386521430992236,35549,46858,23274,105681,0.3363802386427078,0.44339095958592367,0.22022880177136855
115,NA,55.5985517241379,0.113319666552719,490.634621645946,1.23817983318524e-56,57.2,0.95,0.18,57.49,1.73,14_12_20,AU,-1,NA,NA,0,6828132,3473043,10301175,0.6628498205301823,0.3371501794698178,36106,48455,22737,107298,0.3365020783239203,0.4515927603496803,0.21190516132639936
116,30582,59.8239770114942,0.335801275564239,178.152917706978,2.55453293688959e-44,63.56,2.3,0.43,64.57,3.77,14_12_20,AU,-1,0,-1,1,3648591,2165830,5814421,0.6275071928916052,0.3724928071083948,37705,48580,17654,103939,0.36276085011400916,0.467389526549226,0.16984962333676484
117,27529,63.584367816092,0.22420971507403,283.593276924229,5.7169544783681e-50,64.53,0.8,0.15,64.42,0.75,14_12_20,DB,-1,-1,NA,1,3769017,3335624,7104641,0.5305006966572977,0.46949930334270235,35331,45703,24486,105520,0.33482752084912815,0.43312168309325244,0.2320507960576194
118,29429,62.1612183908046,0.313028957006826,198.579770335589,1.22558875002962e-45,64.45,1.54,0.29,64.72,0.61,14_12_20,DB,-1,-1,NA,1,5371142,2871314,8242456,0.6516433936681009,0.34835660633189913,34897,52826,18680,106403,0.3279700760316908,0.4964709641645442,0.17555895980376493
119,26938,60.4271954022988,0.100884624856729,598.97328743715,4.64332697611936e-59,62.44,1.18,0.22,62.16,2.11,14_12_20,DB,-1,1,NA,1,4834534,2792053,7626587,0.6339053104619405,0.3660946895380594,34156,48518,23099,105773,0.3229179469240733,0.45869928998893855,0.21838276308698817
120,24498,65.0496781609195,0.436970939173695,148.864998399957,3.88224123562169e-42,65.68,1.2,0.22,65.78,1.81,14_12_20,DB,-1,NA,NA,0,3967325,1853440,5820765,0.6815813728951435,0.31841862710485647,39961,44592,18113,102666,0.38923304696783745,0.4343404827304073,0.1764264703017552
121,25743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,25823,62.6733793103448,0.118875618806004,527.218112005145,1.65339128255737e-57,65.09,1.41,0.26,64.88,2.93,14_12_20,DB,-1,0,NA,0,3620419,3428524,7048943,0.5136116152450091,0.4863883847549909,33339,47551,24813,105703,0.3154025902765295,0.44985478179427263,0.23474262792919784
123,21631,61.8470574712643,0.358369268867215,172.579132320021,6.21586980821997e-44,60.51,1.21,0.22,60.5,0.61,15_12_20,AU,-1,0,NA,1,3028338,1552745,4581083,0.6610528558421666,0.33894714415783345,43381,39287,18459,101127,0.42897544671551613,0.3884916985572597,0.1825328547272242
124,24401,59.1521149425287,0.0837548237171589,706.253231960539,4.60759399042766e-61,59.04,0.23,0.04,58.99,0.31,15_12_20,AU,0,-1,NA,1,3066997,1830279,4897276,0.6262659078230428,0.37373409217695713,32638,54454,15069,102161,0.31947612102465717,0.5330214073863804,0.1475024715889625
125,22012,56.1354712643678,0.148715972633137,377.467667194342,1.90945125925046e-53,58.16,1.21,0.23,58.24,2.65,15_12_20,AU,-1,-1,-1,1,761470,564614,1326084,0.5742245589268855,0.42577544107311455,24466,46761,14588,85815,0.2851016722018295,0.5449047369341025,0.16999359086406807
126,22675,62.0667586206896,0.260327624765377,238.417873157441,7.3504780498506e-48,65.1,1.86,0.34,65.93,3.16,15_12_20,AU,0,NA,NA,1,3973800,2361478,6335278,0.6272495066514839,0.37275049334851607,31440,47950,23662,103052,0.3050886930869852,0.46529907231300704,0.22961223460000776
127,22501,57.3069655172414,0.212700896701484,269.425124228175,2.39973587180773e-49,56.52,0.71,0.13,56.28,0.6,15_12_20,AU,-1,-1,-1,1,3124916,1804541,4929457,0.6339270227937884,0.36607297720621157,37055,47775,17928,102758,0.3606045271414391,0.46492730493002976,0.17446816792853112
128,24739,63.2543448275862,0.0834246261400144,758.221495909664,6.31131466460098e-62,66.55,1.89,0.35,66.83,2.94,15_12_20,AU,-1,0,0,1,3449651,2163463,5613114,0.614569916092921,0.385430083907079,30107,50495,20630,101232,0.2974059585901691,0.49880472577841,0.2037893156314209
129,24358,60.5891264367816,0.106579660242952,568.486766599431,2.00455239832775e-58,62.11,0.91,0.17,62.16,1.5,15_12_20,AU,-1,0,-1,0,4041436,1869982,5911418,0.6836660848547675,0.3163339151452325,37278,40152,25363,102793,0.36265115328864805,0.3906102555621492,0.24673859114920277
130,28517,61.7480229885057,0.0682805353539312,904.328337035374,4.54321763315563e-64,63.6,1.07,0.2,63.82,1.81,15_12_20,AU,-1,0,0,0,4192019,3010564,7202583,0.5820160628485642,0.41798393715143584,39045,44893,21959,105897,0.3687073288195133,0.4239308006836832,0.2073618704968035
131,26813,57.2471954022988,0.222818166684677,256.923375028539,9.0719947301643e-49,62.41,2.99,0.56,61.86,5.88,15_12_20,AU,-1,1,NA,0,2660564,1940780,4601344,0.5782145390564148,0.42178546094358516,32838,48515,20517,101870,0.3223520172769216,0.4762442328457838,0.2014037498772946
132,26254,57.1705517241379,0.17226354702580499,331.87840788843,7.01117474421684e-52,60.95,2.19,0.41,60.95,4.15,16_12_20,AU,-1,0,NA,1,3503402,1981791,5485193,0.6387016828760629,0.3612983171239371,36976,41726,25040,103742,0.35642266391625377,0.4022093269842494,0.24136800909949682
133,29277,56.2150574712643,0.147651545067048,380.72786468802,1.50089704440768e-53,57.67,0.91,0.17,58.24,1.43,16_12_20,AU,-1,NA,NA,1,2259580,1552587,3812167,0.5927284927444154,0.40727150725558453,28615,50895,19127,98637,0.2901041191439318,0.515982846193619,0.1939130346624492
134,31744,56.6085747126436,0.0813731361206138,695.666621828814,7.03273055644209e-61,57.33,0.46,0.09,57.19,0.53,16_12_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,24155,58.7486436781609,0.252457906757216,232.706689335971,1.44880580859967e-47,61.13,1.5,0.28,61.41,3.01,16_12_20,AU,0,-1,NA,0,3106356,2460907,5567263,0.5579682511855466,0.44203174881445334,42745,38381,20927,102053,0.4188509891918905,0.37608889498593867,0.20506011582217085
136,25250,61.8254482758621,0.104097295235232,593.919833710889,5.8864160290297e-59,64.56,1.58,0.29,64.88,2.56,16_12_20,AU,0,-1,-1,0,2281500,1500308,3781808,0.6032828742231229,0.39671712577687707,33318,37591,27633,98542,0.33810963852976395,0.3814718597146394,0.28041850175559657
137,30553,60.0731034482759,0.126601427933791,474.505733692771,3.15649281122363e-56,60.4,0.38,0.07,60.2,0.6,16_12_20,AU,-1,0,NA,1,1478237,1172729,2650966,0.557622014013005,0.4423779859869949,38789,33333,20060,92182,0.42078713848690635,0.3615998785012258,0.21761298301186782
138,29312,58.8858390804598,0.227597808680213,258.727618784755,7.45831255110592e-49,61.76,1.74,0.32,62.61,2.64,16_12_20,AU,-1,NA,NA,1,832677,695728,1528405,0.5448012797655072,0.4551987202344928,32576,32827,21684,87087,0.3740627188903051,0.37694489418627347,0.2489923869234214
139,28510,62.7057931034483,0.293256564973294,213.825709610827,1.54675164319237e-46,63.88,1.02,0.19,64.12,0.9,16_12_20,AU,-1,-1,NA,0,7675698,4169910,11845608,0.6479783899652934,0.35202161003470656,30214,55407,22589,108210,0.2792163386008687,0.5120321596894927,0.20875150170963866
140,28477,49.0362528735632,0.447248224128592,109.639905153574,2.00401113816235e-38,56.19,4.23,0.79,57.79,6.11,16_12_20,AU,-1,0,-1,1,6863287,4323533,11186820,0.6135154583697602,0.3864845416302399,37954,55710,13954,107618,0.3526733446077794,0.5176643312457024,0.12966232414651824
141,24349,55.8074022988505,0.0610488777208041,914.14296842729,3.35818257493454e-64,59.05,1.85,0.34,58.99,3.23,16_12_20,AU,-1,-1,NA,1,5366732,2495213,7861945,0.6826214123858664,0.3173785876141337,31152,59288,14939,105379,0.29561867165184713,0.5626168401673958,0.14176448818075707
142,25949,69.7975396825397,0.20418404391776,341.836405741147,5.06342830019331e-49,66.74,1.81,0.35,67.14,1.73,16_12_20,DB,0,-1,NA,1,3253826,3335199,6589025,0.4938251106954367,0.5061748893045632,32183,45552,27408,105143,0.3060878993370933,0.4332385417954595,0.2606735588674472
143,26625,61.5679540229885,0.356113200257403,172.888716224185,5.91190366266606e-44,63.72,1.54,0.29,64.12,2.95,16_12_20,DB,-1,NA,NA,1,7647370,2476862,10124232,0.7553530974003757,0.24464690259962435,47981,41540,17920,107441,0.4465799834327677,0.3866308020215746,0.16678921454565762
144,28741,58.5809655172414,0.130845354030405,447.711467872438,1.60666597635216e-55,60.84,1.33,0.25,60.35,1.81,16_12_20,DB,-1,-1,NA,0,4726890,2894862,7621752,0.6201841781259742,0.3798158218740258,44578,43184,18095,105857,0.4211152781582701,0.4079465694285687,0.17093815241316115
145,26214,64.3821379310345,0.342288336835758,188.093285696519,5.59235498055053e-45,66.83,1.65,0.31,66.23,2.86,16_12_20,DB,-1,0,0,0,8392187,5028642,13420829,0.625310627234726,0.37468937276527403,36243,49709,21351,107303,0.3377631566684995,0.46325825000232984,0.19897859332917067
146,25584,63.8455172413794,0.13268329197844,481.187316725255,2.13397420015274e-56,63.71,0.36,0.07,63.82,0.3,16_12_20,DB,0,0,1,1,3570174,1928935,5499109,0.6492277203452413,0.3507722796547586,28552,51338,22800,102690,0.27804070503457007,0.49993183367416494,0.22202746129126497
147,26424,61.7927586206896,0.131269813018138,470.730910633289,3.94746203340262e-56,61.95,0.36,0.07,62.01,0.6,16_12_20,DB,0,-1,0,1,4764196,3000033,7764229,0.6136083827512042,0.3863916172487957,34075,58986,13786,106847,0.31891396108454145,0.5520604228476232,0.1290256160678353
148,30298,61.1681379310345,0.302111405964903,202.468813567868,7.12288099103167e-46,63.32,1.45,0.27,64.12,2.56,16_12_20,DB,0,0,0,0,5344526,4654405,9998931,0.5345097390911089,0.4654902609088912,22478,54808,30079,107365,0.20936059237181576,0.5104829320542076,0.2801564755739766
149,23366,59.9453333333333,0.0684992551770762,875.123870739466,1.13902944046206e-63,63.41,1.97,0.37,63.37,3.54,16_12_20,DB,-1,0,NA,1,3351094,1803870,5154964,0.6500712711087798,0.3499287288912202,28627,53629,18090,100346,0.28528292109301817,0.5344408347118969,0.180276244195085
150,28883,62.0708505747126,0.189987243989212,326.710621573294,1.08788752669861e-51,64.16,1.29,0.24,64.57,2.42,16_12_20,DB,-1,1,-1,1,3617337,1760914,5378251,0.6725861251176265,0.32741387488237345,40349,41040,21381,102770,0.3926145762382018,0.39933832830592586,0.20804709545587233
151,26434,63.1577471264368,0.316051700287091,199.833593899562,1.02768277230885e-45,69.41,3.65,0.68,70.3,5.88,16_12_20,DB,0,1,NA,1,5886072,2726211,8612283,0.6834508341168074,0.31654916588319265,39366,41226,25940,106532,0.3695227725002816,0.38698231517290577,0.2434949123268126
152,25810,59.0801379310345,0.152552271079231,387.277996670073,9.31023180594178e-54,59.46,0.45,0.08,59.3,0.61,5_1_21,AU,-1,0,NA,1,4555827,3836081,8391908,0.5428833347553381,0.4571166652446619,35163,46411,24608,106182,0.3311578233598915,0.43708914881995065,0.23175302782015783
153,27206,54.5135862068965,0.382372704490873,142.566625615919,1.30048426817565e-41,61.58,4.14,0.77,60.95,8.81,5_1_21,AU,-1,-1,NA,1,2699164,1789164,4488328,0.601374052876706,0.398625947123294,31814,44240,22928,98982,0.3214119738942434,0.4469499504960498,0.2316380756097068
154,26126,56.0596781609196,0.14870246402243,376.992261220794,1.97801998739242e-53,56.85,0.59,0.11,57.19,1.13,5_1_21,AU,-1,-1,NA,NA,2417078,1648335,4065413,0.5945467287087437,0.40545327129125625,31465,43352,17767,92584,0.3398535384083643,0.46824505314093146,0.19190140845070422
155,25587,57.5796091954023,0.172258094763518,334.263590192668,5.7375954088684e-52,56.95,0.58,0.11,56.73,0.3,5_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,27793,56.6788735632184,0.269476953679917,210.329205482043,2.45351961086222e-46,58.22,1.13,0.21,58.39,2.11,5_1_21,AU,-1,NA,NA,1,2303560,1551323,3854883,0.5975693685126111,0.40243063148738883,20370,54607,18657,93634,0.21754918085310893,0.5831962748574235,0.1992545442894675
157,25748,56.933448275862,0.0920030372441815,618.821399610507,1.86396553996159e-59,60.29,1.92,0.36,60.05,3.47,5_1_21,AU,-1,NA,-1,1,3095277,1775540,4870817,0.6354738845659773,0.3645261154340227,31125,40555,27936,99616,0.3124498072598779,0.4071133151300996,0.2804368776100225
158,25511,63.5980689655172,0.284955113660682,223.186270105854,4.66342005305764e-47,65.19,1.17,0.22,65.63,1.21,5_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,23238,55.8279770114942,0.391425241685527,142.627431923122,1.28506950207815e-41,57.66,1.46,0.27,57.19,0.53,5_1_21,AU,0,-1,NA,0,2517351,1507757,4025108,0.6254120386334976,0.37458796136650246,36401,41186,18345,95932,0.37944585748238335,0.4293249384981028,0.19122920401951382
160,25113,57.0827816091954,0.392246312627943,145.527898597074,7.31873409042729e-42,59.19,1.58,0.29,58.69,2.04,5_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,25875,57.9624137931034,0.149568565158776,387.530720319292,9.14174651877118e-54,58.01,0.39,0.07,58.09,0.6,5_1_21,AU,-1,0,-1,1,4826063,2079523,6905586,0.6988636445914945,0.30113635540850553,38190,47077,18907,104174,0.3665981914873193,0.4519073857200453,0.1814944227926354
162,23897,62.199908045977,0.223313234005412,278.532118004567,9.46385117092509e-50,63.78,1.07,0.2,64.12,2.04,5_1_21,DB,-1,1,-1,0,6007573,2266329,8273902,0.7260870384976762,0.2739129615023238,39235,42069,23214,104518,0.3753898849958859,0.40250483170363,0.22210528330048412
163,21074,58.3173333333333,0.182879264631444,318.884338532638,2.14461429420346e-51,62.08,2.19,0.41,62.16,4.67,5_1_21,DB,0,0,NA,1,2581761,1934837,4516598,0.5716162917310772,0.42838370826892275,35240,41117,21933,98290,0.3585308780140401,0.4183233289246108,0.22314579306134907
164,25974,62.2010804597701,0.134036502046159,464.060755915201,5.88622606373464e-56,62.76,0.47,0.09,62.61,0.83,5_1_21,DB,-1,NA,NA,1,4577629,2711144,7288773,0.6280383543293226,0.37196164567067735,39965,45662,18611,104238,0.38340144668930715,0.4380552197854909,0.17854333352520194
165,27043,58.7161149425287,0.128159678646122,458.148113063371,8.42844454767445e-56,58.95,0.36,0.07,58.99,0.61,5_1_21,DB,0,0,NA,1,1659245,706963,2366208,0.7012253360651304,0.2987746639348696,30263,42290,12812,85365,0.3545129737011656,0.49540209687811165,0.15008492942072277
166,24552,58.6354942528736,0.468634022114943,125.120011535338,5.00085345801883e-40,62.47,2.5,0.46,61.11,3.09,5_1_21,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,23525,58.6592413793104,0.298213185005785,196.702373767184,1.59873347532571e-45,61.82,1.96,0.36,61.26,2.33,5_1_21,DB,-1,NA,NA,1,3396939,2041069,5438008,0.6246660541874892,0.3753339458125108,37105,42159,20735,99999,0.3710537105371054,0.4215942159421594,0.2073520735207352
168,28249,59.9721149425288,0.154352765136558,388.539297559525,8.50017824781179e-54,62.05,1.25,0.23,61.56,2.65,6_1_21,AU,-1,0,NA,1,2493453,1378555,3872008,0.643968969072378,0.35603103092762206,32555,46793,17317,96665,0.33678166864945946,0.48407386334247143,0.1791444680080691
169,27510,63.889724137931,0.111846788743418,571.22537764135,1.75219538894303e-58,67.55,2.1,0.39,67.89,3.77,6_1_21,AU,0,1,NA,1,4022292,2072612,6094904,0.6599434544005943,0.3400565455994057,37287,39878,26742,103907,0.35884974063345104,0.38378550049563553,0.2573647588709134
170,22480,62.3600919540229,0.112206136563075,555.76364951277,3.77780939650692e-58,64,0.98,0.18,64.27,2.04,6_1_21,AU,-1,0,0,1,6254600,4528192,10782792,0.5800538487619904,0.4199461512380096,31658,58798,16268,106724,0.29663430905888083,0.55093512237172515,0.15243056856939394
171,24609,64.7596551724138,0.225017775642816,287.797952794674,3.78664440907796e-50,66,0.92,0.17,66.23,1.5,6_1_21,AU,-1,0,0,1,3849161,2544149,6393310,0.6020607478755137,0.3979392521244864,28201,58285,15188,101674,0.27736687845466884,0.5732537325176544,0.1493793890276767
172,NA,56.5147126436782,0.199449288746376,283.353793833496,5.85375376903451e-50,62.47,3.42,0.64,63.22,5.88,6_1_21,AU,-1,NA,NA,1,1426544,865573,2292117,0.6223696259833159,0.37763037401668414,32563,41232,12816,86611,0.37596841047903845,0.4760596229116394,0.14797196660932213
173,26103,59.5471264367816,0.103699841134343,574.22582122993,1.51314837352289e-58,62.91,1.93,0.36,62.76,3.16,6_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,23565,61.8426896551724,0.215884902636849,286.46139169445,4.31360948666718e-50,68.57,3.86,0.72,69.25,7,6_1_21,AU,-1,0,0,0,7621529,3193105,10814634,0.7047422039432865,0.29525779605671354,45969,38227,20960,105156,0.4371505192285747,0.3635265700483092,0.19932291072311614
175,30001,58.7697701149425,0.148461407335628,395.858904813431,5.04097866448705e-54,61.12,1.39,0.26,60.95,1.81,6_1_21,AU,-1,NA,NA,1,2350012,1140252,3490264,0.673304941975736,0.3266950580242641,32124,42478,16887,91489,0.3511241788630327,0.46429625419449333,0.18457956694247396
176,28381,57.6036781609195,0.32378430225609,177.907569204387,2.65494536322521e-44,57.92,0.87,0.16,57.64,1.2,6_1_21,AU,NA,1,0,0,2890774,1694243,4585017,0.630482722310517,0.36951727768948295,26703,34259,34880,95842,0.27861480353081114,0.3574528912167943,0.36393230525239456
177,29312,55.525816091954,0.353595612463174,157.031971367396,8.71686604064439e-43,59.35,2.36,0.44,58.84,2.93,6_1_21,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,24620,65.6781379310345,0.189420456350385,346.732022488345,2.05824608158052e-52,68.25,1.54,0.29,67.59,2.64,6_1_21,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,24393,63.2786436781609,0.184876805648485,342.274648548805,2.9566476441876e-52,68.28,2.88,0.54,68.49,5.58,6_1_21,DB,-1,0,NA,0,2322757,1401055,3723812,0.6237578588822422,0.37624214111775783,27034,47750,17210,91994,0.29386699132552124,0.5190555905819945,0.1870774180924843
180,22778,63.0932183908046,0.201903054661764,312.492639086125,3.78004950009872e-51,66.03,1.75,0.33,66.68,3.24,6_1_21,DB,0,-1,NA,1,1155111,971815,2126926,0.5430894163689757,0.4569105836310243,19199,56621,15278,91098,0.21075105929877713,0.6215394410415157,0.16770949965970713
181,26392,66.6880459770115,0.161943414514024,411.798443160752,1.66937800450508e-54,67.64,0.69,0.13,67.44,1.2,6_1_21,DB,-1,NA,NA,1,1264621,653084,1917705,0.6594450137012732,0.3405549862987269,34555,35039,16010,85604,0.40366104387645435,0.40931498528106164,0.18702397084248398
182,26715,65.3442528735632,0.344413843342943,189.725976863532,4.39112957489941e-45,70.91,3.29,0.61,71.96,5.28,6_1_21,DB,-1,0,-1,0,2748669,1671853,4420522,0.6217973804903584,0.3782026195096416,31965,45026,17798,94789,0.3372226735169693,0.4750129234404836,0.18776440304254713
183,32151,66.9425287356322,0.211464281759781,316.566600177317,2.63046279647604e-51,63.45,2.06,0.38,63.67,4.45,6_1_21,DB,-1,1,NA,NA,314533,181761,496294,0.6337634547264324,0.3662365452735677,19774,26550,8137,54461,0.36308551073245077,0.48750481996290923,0.14940966930464003
184,26141,64.2042528735632,0.558154084446655,115.029621143441,5.24325695203638e-39,68.51,2.85,0.53,70.15,4.37,6_1_21,AU,NA,1,NA,NA,2067502,977349,3044851,0.6790158204785719,0.32098417952142816,29508,44166,8814,82488,0.35772475996508585,0.5354233343031713,0.1068519057317428
185,23721,60.3704137931034,0.305382526777457,197.687845569165,1.39010641701999e-45,64.83,2.65,0.49,65.78,4.98,7_1_21,AU,-1,NA,-1,1,3491751,1326673,4818424,0.7246666129838304,0.2753333870161696,43394,38638,13405,95437,0.4546873853956013,0.4048534635413938,0.1404591510630049
186,21691,59.7774942528736,0.280490755478887,213.117520222064,1.69721998705534e-46,63.02,1.99,0.37,63.97,3.23,7_1_21,AU,-1,0,NA,1,5123124,2587112,7710236,0.6644574822353039,0.3355425177646962,32854,43628,25852,102334,0.3210467684249614,0.4263294701663181,0.25262376140872045
187,29457,62.3368735632184,0.138593303939944,449.782722477204,1.41190584697661e-55,65.65,1.92,0.36,66.08,3.54,7_1_21,AU,-1,0,NA,NA,3355083,1400009,4755092,0.7055768847374562,0.29442311526254383,35488,35075,16677,87240,0.4067858780375974,0.4020518110958276,0.19116231086657495
188,23987,57.7886896551725,0.153701773052493,375.979330020066,2.13275744081551e-53,59.79,1.21,0.22,60.05,2.11,7_1_21,AU,-1,0,0,1,5186619,2260924,7447543,0.6964201482287514,0.3035798517712486,46436,45828,11486,103750,0.4475759036144578,0.4417156626506024,0.11070843373493976
189,25746,61.6504827586207,0.0691276310114106,891.835606928933,6.7067969270379e-64,64.82,1.81,0.34,64.72,2.56,7_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,20314,56.5349655172414,0.19382259939011,291.684074484279,2.60139680931807e-50,60.66,2.4,0.45,60.05,4.75,7_1_21,AU,0,-1,NA,1,3372479,2296212,5668691,0.5949308226537661,0.4050691773462339,34735,41272,16987,92994,0.37351872163795513,0.4438135793707121,0.18266769899133278
191,21078,60.4360000000001,0.133179357037605,453.794051452998,1.10116200572911e-55,62.19,1.06,0.2,62.61,1.81,7_1_21,AU,-1,0,-1,1,5306146,1947769,7253915,0.7314872038064962,0.26851279619350377,38467,38412,21967,98846,0.38916091698197197,0.38860449588248386,0.22223458713554417
192,26329,58.3154022988505,0.406211337063529,143.559268238076,1.07113029120959e-41,69.81,6.61,1.23,71.2,12.36,7_1_21,DB,0,0,-1,0,3253329,2073782,5327111,0.6107116972032308,0.3892883027967692,21481,49019,23083,93583,0.22953955312396482,0.5238024000085486,0.24665804686748663
193,22935,59.9597011494253,0.119143987378108,503.254108485901,6.08137396677803e-57,63.07,1.79,0.33,62.61,2.93,7_1_21,DB,-1,1,NA,1,3080426,1093229,4173655,0.7380643584579942,0.26193564154200577,42458,36809,12188,91455,0.4642501776830135,0.40248209501940846,0.13326772729757805
194,26801,66.0809655172414,0.337390784273972,195.858833724342,1.80301612494534e-45,68.32,1.55,0.29,67.89,2.87,7_1_21,DB,-1,0,-1,0,4961124,2948905,7910029,0.6271941607293728,0.3728058392706272,35055,44245,22514,101814,0.34430431964169955,0.4345669554285265,0.2211287249297739
195,26899,62.0865057471264,0.347185207612579,178.828200009052,2.29797191573739e-44,66.31,2.57,0.48,65.63,4.97,7_1_21,DB,-1,-1,NA,NA,2171508,1334955,3506463,0.6192872989106116,0.38071270108938837,32358,43826,10970,87154,0.3712738371159098,0.5028570117263694,0.12586915115772082
196,21235,65.5948275862069,0.252717288013164,259.55813352504,6.81843102398069e-49,70,2.59,0.48,69.55,2.87,7_1_21,DB,-1,-1,-1,NA,4551489,1170565,5722054,0.7954292287349962,0.20457077126500378,46706,33306,15522,95534,0.4888940063223564,0.34862980718906356,0.16247618648857998
197,26874,60.6494022988505,0.0602696964617068,1006.30011198721,2.28120112739094e-65,63.63,1.7,0.32,63.37,2.94,7_1_21,DB,-1,-1,NA,1,5445181,2521905,7967086,0.6834595484471989,0.31654045155280114,37373,38280,24354,100007,0.3737038407311488,0.3827732058755887,0.24352295339326246
198,25051,64.5021839080459,0.608279011868088,106.040456187947,5.09184302530266e-38,75.15,6.25,1.16,75.72,13.34,7_1_21,DB,-1,-1,NA,1,8388634,4381427,12770061,0.6568985065928816,0.34310149340711843,43717,37118,21589,102424,0.4268237912989143,0.36239553229711785,0.21078067640396783
199,25178,60.5474022988506,0.0926813582175432,653.285660280601,4.08717821231586e-60,62.24,0.99,0.18,62.31,1.73,7_1_21,DB,-1,-1,0,1,4485804,3392330,7878134,0.5693993019159106,0.43060069808408946,31454,56567,12203,100224,0.31383700510855683,0.5644057311621967,0.12175726372924649
200,28889,51.9585057471264,0.480010123770972,108.244603965723,2.86610977246478e-38,54.44,1.89,0.35,54.32,3.55,8_1_21,AU,-1,-1,NA,0,7159612,2904328,10063940,0.7114124289294252,0.28858757107057476,36516,46886,20914,104316,0.3500517657885655,0.449461252348633,0.20048698186280148
